date,instrument,bbsb_bench_zb,bbsb_bench_gc,bbsb_bench_dxy,bbsb_rel_zb,bbsb_rel_gc,bbsb_rel_dxy,bbsb_selfz,bbsb_verdict_gate,bbsb_verdict_bench,bbsb_verdict_rel,bbsb_tb_bench,bbsb_tb_rel,bbsb_flip,cot_comm_net,cot_index,cot_noncomm_net,cot_specs_net,cot_verdict,w_bias,macro_status,gated,bbsbcot_comm_net,bbsbcot_noncomm_net,bbsbcot_specs_net,bbsbcot_comm_idx,bbsbcot_noncomm_idx,bbsbcot_nonrep_idx,bbsbcot_verdict,bbsbcot_dir,bbsbcot_ready,bbsbcot_agrees
2026-08-02,EURUSD,-0.4021,-0.02751,0.27632,-0.23554,-0.61013,-0.91396,-0.63764,0,0,0,0,0,0,51.71K,100.0,-72.45K,20.73K,VETO (partial bull div opposes bear bias),BEARISH,SKIP,1,,,,,,,,,,
2026-08-02,GBPUSD,-0.4021,-0.02751,0.27632,-0.46761,-0.84219,-1.14603,-0.86971,0,0,0,0,0,0,72.81K,56.5,-64.81K,-8K,NEUTRAL (no extreme),RANGING,WEAK,0,,,,,,,,,,
2026-08-02,AUDUSD,-0.4021,-0.02751,0.27632,-0.84275,-1.21733,-1.52117,-1.24485,0,0,0,0,0,0,23.5K,100.0,-39.96K,16.46K,ALIGNED (partial bull div),BULLISH,WEAK,0,,,,,,,,,,
2026-08-02,USDJPY,-0.402,-0.028,0.276,-0.784,-1.159,-1.463,-1.186,0,0,0,0,0,1,158.03K,100.0,-163.41K,5.39K,"BEARISH (inverted, partial div)",RANGING,WEAK,0,,,,,,,,,,
2026-08-02,GBPJPY,-0.402,-0.028,0.276,-2.456,-2.831,-3.134,-2.858,0,0,0,0,0,0,GBP +72.81K / JPY +158.03K,56.5 / 100,-64.81K / -163.41K,-8K / +5.39K,BEARISH (JPY leg extreme),RANGING,WEAK,0,,,,,,,,,,
2026-08-02,EURGBP,-0.4021,-0.02751,0.27632,0.21311,-0.16148,-0.46531,-0.18899,0,0,0,0,0,0,EUR +51.71K / GBP +72.81K,100 / 56.5,-72.45K / -64.81K,+20.73K / -8K,"VETO (EUR leg bullish, opposes)",BEARISH,SKIP,1,,,,,,,,,,
2026-08-02,XAUUSD,-0.37,-0.01,0.23,-0.28,-0.64,-0.89,-0.65,0,0,0,0,0,0,-212.31K,27.31,182.07K,30.24K,"NEUTRAL (Comm Net shrinking, dir-only rule)",BEARISH,WEAK,0,,,,,,,,,,
2026-08-02,US30,-0.4,-0.0,0.3,-0.0,-0.4,-0.7,-0.4,0,0,0,0,0,0,-22.7K,0.0,16.34K,6.36K,VETO (FULL bearish divergence),BULLISH,SKIP,1,,,,,,,,,,
2026-08-02,NAS100,-0.4,-0.0,0.3,-1.9,-2.3,-2.6,-2.3,0,0,0,0,0,0,-14.95K,36.47,4.91K,10.03K,"NEUTRAL (carve-out: no extreme, no flip)",BEARISH,WEAK,0,,,,,,,,,,
2026-08-02,US500,-0.4,-0.0,0.3,-1.5,-1.9,-2.2,-1.9,0,0,0,0,0,0,-95.93K,5.06,-17.2K,113.13K,"BEARISH lean (partial div, no gate vs RANGING)",RANGING,WEAK,0,,,,,,,,,,
2026-08-02,GER40,-0.3,0.1,0.2,0.7,0.3,0.2,0.4,0,0,0,0,0,0,,,,,UNAVAILABLE (Eurex),BULLISH,WEAK,0,,,,,,,,,,
2026-08-09,EURUSD,0.67949,2.3128,-0.37167,-0.03581,-1.66913,1.01534,0.64367,0,0,0,0,0,0,31.46K,92.96,-58.09K,26.63K,BULLISH partial div,BEARISH,SKIP,1,,,,,,,,,,
2026-08-09,GBPUSD,0.67949,2.3128,-0.37167,1.47596,-0.15735,2.52712,2.15545,0,0,0,0,0,0,62.65K,43.88,-57.81K,-4.83K,NEUTRAL,RANGING,WEAK,0,,,,,,,,,,
2026-08-09,AUDUSD,0.67949,2.3128,-0.37167,-0.81136,-2.44468,0.2398,-0.13187,0,0,0,0,0,0,12.32K,91.74,-33.19K,20.87K,BULLISH partial div,RANGING,WEAK,0,,,,,,,,,,
2026-08-09,USDJPY,0.679,2.313,-0.372,-2.689,-4.323,-1.638,-2.01,0,0,0,0,0,1,50.57K,38.31,-45.47K,-5.09K,NEUTRAL (6J1! inverted),RANGING,WEAK,0,,,,,,,,,,
